No,PATWWW/AutoDoc,Orbit,IDFromSource,Title,Company/Institute,Source/Patent No,"Publ.
Date",Category,crop protection,Сomments,Keywords,Abstracts,Patent Asset Index Data,Categories,Justifications
11,WO2022181491,WO2022181491,WPI/2022-B2667C,"Imparting antibacterial properties useful e.g. for producing antimicrobial material, involves contacting antibacterial-imparting agent containing water and antibacterial ions with material containing macromolecule having functional group",PANASONIC INTELLECTUAL PROPERTY MANAGEME,WO2022181491 A1,20220901,,fungicide,,,"WO 2022181491 A1
   NOVELTY - Method for imparting antibacterial properties involves bringing an antibacterial-imparting agent containing water and antibacterial ions in contact with a material containing a macromolecule having a functional group capable of binding with the antibacterial ions. 
   DETAILED DESCRIPTION - INDEPENDENT CLAIMS are included for the following:
      antibacterial agent comprising water and antibacterial ion; and 
      device comprising material containing a polymer having a functional group capable of bonding with an antibacterial ion and supply unit for supplying the antibacterial-imparting agent containing water and antibacterial ion to the surface of the material. 
   USE - The method or antibacterial agent is useful for imparting antibacterial properties which is used for restoring antibacterial properties of a material and producing an antimicrobial material (all claimed) which is used in a plumbing product used in bathrooms and toilets, a coating material for floor, an air conditioner and an electric appliance e.g. washing machine.
   ADVANTAGE - The method enables antibacterial properties to be easily imparted to a material. The method recovers antibacterial properties easily. The method produces antimicrobial material easily.","Status as of : 08.12.2022
Competitive impact : 2.285
Technology relevance : 0.815
Market coverage : 2.803
Current owners : PANASONIC CORPORATION
Patent rights : 
    Active + Granted : 
    Active + Not Granted : WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""0"", ""3""","While the patent focuses on imparting antibacterial properties, it also mentions applications in restoring antibacterial properties and producing antimicrobial materials. This suggests a broader scope beyond traditional insecticides, herbicides, or fungicides. The use cases, such as coatings for floors and air conditioners, align more with antimicrobial applications aimed at preventing the growth of bacteria and other microorganisms."
12,WO2022180233,WO2022180233,WPI/2022-B24372,"Repellent composition useful e.g. for controlling infestations of animals by external parasites or pathogenic microorganisms, contains germacrene D, tannins, eugenol, eugenol acetate, ascorbic acid, trans-anethole, thujone and caffeic acid",,"WO2022180233 A1
FR3120187 A1","20220901
20220902",,fungicide,,,"WO 2022180233 A1
   NOVELTY - Repellent composition comprises natural ingredients including at least 0.2 wt.% germacrene, preferably germacrene D, at least 5 wt.% tannins, at least 1 wt.% phenolic acid(s), other than caffeic acid, chosen from 3-caffeoylquinic acid, 3-p-coumaroylquinic acid, 4-p-coumaroylic acid and their mixtures, at least 55 wt.% eugenol, at least 2 wt.% eugenol acetate, at least 0.1 wt.% ascorbic acid, at least 0.1 wt.% trans-anethole, at least 0.1 wt.% thujone and at least 0.1 wt.% caffeic acid, relative to the total weight of solids of the composition. 
   DETAILED DESCRIPTION - INDEPENDENT CLAIMS are included for the following:
      porous substrate impregnated with the above-mentioned composition, where the substrate is constituted by a plant and/or mineral material; 
      method for preparing the composition involves (a) supplying plant materials, preferably extracts from several plants, chosen from walnut leaves, sage, preferably clary sage, artichoke, clove, bay leaves, lemon, anise, preferably star anise, sage, tansy, coffee, propolis and/or common sage, (b) optionally, drying the plant materials, (c) grinding the plant materials and sieving to obtain a powder having an average particle size of 0.01-2 mm, preferably 0.1-0.3 mm, and (d) optionally, performing maceration of the ground plant material in an aqueous, alcoholic or aqueous-alcoholic solvent medium for a period of at least 30 days, to obtain a maceration solution comprising the natural extracts of the plant material and separating the maceration solution from the residual inert vegetable matter, by filtration, decantation or centrifugation; and 
      method for preparing impregnated porous substrate involves supplying a porous inert substrate comprising plant and/or mineral material, preferably plant material, impregnating the porous substrate with the composition, with the solution obtained at the end of step (d) and optionally, drying the impregnated substrate. 
   ACTIVITY - Antiparasitic; Antimicrobial; Insect Repellent. Test details are described but no results given.
   MECHANISM OF ACTION - None given.
   USE - The repellent composition is useful for controlling infestations of animals, preferably sheep and cattle, by external parasites and/or pathogenic microorganisms, treating air, water or surface of non-living material, for diapers and animal litter, in decontamination treatment and as an insect repellent (all claimed) and sanitizing liquid. 
   ADVANTAGE - The repellent composition is easily administered or easy to apply, fights effectively and simultaneously against the various parasites that infest the animal, and is non-toxic and environmentally-friendly.","Status as of : 08.12.2022
Competitive impact : 2.783
Technology relevance : 0.993
Market coverage : 2.803
Current owners : 
Patent rights : 
    Active + Granted : 
    Active + Not Granted : FR; WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1"", ""3""","The patent describes a repellent composition with antiparasitic and antimicrobial activity. It is explicitly stated to be useful for controlling infestations of animals by external parasites, placing it in the Insecticide category. Additionally, the mention of antimicrobial activity suggests fungicidal properties, leading to the classification under Fungicides."
13,KR2022121572,KR2022121572,WPI/2022-B2388H,"Composition useful for relieving and controlling seaweed disease including red seaweed disease, olpidiopsis disease, green spot disease, and diatomaceous disease, comprises hydrogen peroxide",NAT FISHERY PROD QUALITY MANAGEMENT SERV,KR2022121572 A,20220901,,fungicide,,,"KR 2022121572 A
   NOVELTY - Composition comprises hydrogen peroxide. 
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is also included for relieving seaweed disease, comprising immersing a medicinal bath composition containing hydrogen peroxide in Pythium chondricola . 
   ACTIVITY - Fungicide. Test details are described but no results given. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful for relieving and controlling seaweed disease including red seaweed disease, olpidiopsis disease, green spot disease, and diatomaceous disease (all claimed). 
   ADVANTAGE - The composition excellent is safe, has no side effects, replaces illegally used inorganic acids, and prevents damaging laver fronds within short period of time.","Status as of : 08.12.2022
Competitive impact : 0.056
Technology relevance : 0.995
Market coverage : 0.056
Current owners : NAT FISHERY PRODUCTS QUALITY MANAGEMENT SERVICE
Patent rights : 
    Active + Granted : 
    Active + Not Granted : KR
    Not Active + Granted : 
    Not Active + Not Granted : 
","""3""",The patent specifically mentions the composition's activity as a fungicide and its use for relieving and controlling seaweed diseases caused by various fungal pathogens like *Pythium chondricola*.
14,WO2022180405,WO2022180405,WPI/2022-B2300G,"Formulation used as agrochemical product, cosmetic product, household product, laundry product, and vaccine or veterinary product, comprises active substance together with dispersible exine shell of naturally occurring spore or pollen grain",SPOROMEX LTD,WO2022180405 A1,20220901,,fungicide,,,"WO 2022180405 A1
   NOVELTY - Formulation comprises at least one active substance together with a dispersible exine shell of a naturally occurring spore or pollen grain, where the dispersible exine shell is dispersible in solution, and the active substance is not an immunocontraceptive. 
   DETAILED DESCRIPTION - INDEPENDENT CLAIMS are also included for: 
      preparing the dispersible exine shell, involving isolating a dispersible exine shell from a naturally occurring spore by treating the spore with an aqueous non-acidic treatment with or without a catalyst; 
      a dispersible exine shell isolated from a naturally occurring spore, where the exine shell is dispersible in solution; 
      protecting an active substance from oxidation and/or for increasing the stability of the active substance or of a composition containing it, comprising formulating an active substance with the dispersible exine shell; and
      increasing the oxidative stability of an active substance, comprising adding the dispersible exine shell to the active substance. 
   ACTIVITY - Antibacterial; Antialgal; Fungicide; Protozoacide; Virucide. 
   MECHANISM OF ACTION - Vaccine.
   USE - The formulation is useful: as agrochemical product, cosmetic product, household product, toiletry product, laundry product, diagnostic, pharmaceutical, vaccine or veterinary product (all preferred), beverage product, food product, dietetic (which includes nutraceutical) product, confectionery or chewing gum product; as agrochemical product, cosmetic product, household product, toiletry product, laundry product, diagnostic, pharmaceutical, vaccine or veterinary product; and as a beverage product, a food product, a dietetic (which includes nutraceutical) product, a confectionery or chewing gum product. The dispersible exine shell is useful: in method of surgery, therapy, prevention or diagnosis practised on a living plant, human or animal body; as a protection, and/or delivery and/or removal vehicle for one or more active substances; as an antioxidant for an active substance; in the manufacture of a medicament for the protection and/or delivery of an agrochemical, pharmaceutically or veterinary active substance or a diagnostic agent to a human or animal patient; in the removal of an active substance or animal bodily fluids or human bodily fluids; in the removal of an active substance from solutions and emulsions; in the removal of pollutants and contaminants; in the manufacture of a formulation for the protection and/or delivery of an active substance to a living organism; and in the manufacture of a formulation for the protection and/or delivery of an active substance to a non living material (all claimed). No biological data given. 
   ADVANTAGE - The formulation falls below the meniscus without agitation whereas exine microcapsules extracted under reflex conditions (greater than 85° C) and/or multi-pot conditions did not disperse within this timeframe.","Status as of : 08.12.2022
Competitive impact : 2.779
Technology relevance : 0.992
Market coverage : 2.803
Current owners : SPOROMEX
Patent rights : 
    Active + Granted : 
    Active + Not Granted : WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""3""",The patent text explicitly mentions \
15,WO2022180626,WO2022180626,WPI/2022-B24646,"Composition useful for controlling weed e.g. Setaria viridis, Digitaria sanguinalis, Solanum nigrum and Amaranthus blitoides, comprises imidazolinone-based acetolactate synthase inhibitor as herbicide and solvent of substituted phenyls",ADAMA AGAN LTD,WO2022180626 A1,20220901,,herbicide,,,"WO 2022180626 A1
   NOVELTY - Composition comprises an imidazolinone-based acetolactate synthase (ALS) inhibitor as a herbicide, and a solvent of substituted phenyl compounds (I).
   DETAILED DESCRIPTION - Composition comprises an imidazolinone-based acetolactate synthase (ALS) inhibitor as a herbicide, and a solvent of substituted phenyl compounds of formula (I).
       R1  = 1-4 substituents comprising (1-6C)alkylene-OH, O-(1-6C )alkylene-OH, (1-6C)alkyl or halo, preferably methylene-OH, ethylene-OH, or oxyethylene-OH and the other R1, when present, is methyl, ethyl, F, Cl, or Br.
    Provided that at least one of R1 is (1-6C-)alkylene-OH or O-(1-6C- )alkylene-0H. INDEPENDENT CLAIMS are also included for: 
      controlling weed comprising applying the composition to a locus; and 
      an herbicide combination comprising saflufenacil, imazethapyr and (S)-metolachlor.
   ACTIVITY - Herbicide.
   MECHANISM OF ACTION - Acetolactate synthase (ALS) inhibitor; Very long chain fatty acid (VLCFA) inhibitor; Protoporphyrinogen oxidase (PPO) inhibitor.
   USE - The composition is useful for controlling weed, where the weed is Setaria viridis , Amaranthus blitoides , Amaranthus retroflexus , Digitaria sanguinalis , Solanum nigrum , Conyza bonariensis , Chenopodium album , Echinochloa colonum or Xanthium strumarium (all claimed). Test details are described but no results given.
   ADVANTAGE - The composition exhibits excellent herbicidal activity.","Status as of : 08.12.2022
Competitive impact : 3.412
Technology relevance : 1.217
Market coverage : 2.803
Current owners : SINOCHEM HOLDINGS CORPORATION LTD
Patent rights : 
    Active + Granted : 
    Active + Not Granted : WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""2""",The patent text explicitly states that the composition comprises an imidazolinone-based acetolactate synthase (ALS) inhibitor as a *herbicide*.  It also describes its use for controlling weed and lists specific weeds targeted by the composition.
16,WO2022182216,WO2022182216,WPI/2022-B2434V,New isolated strain of Lysinibacillus fusiformis comprising characteristics of deposited strain CM-CNRG TB160 used in e.g. agricultural nutrient for producing agricultural crops,UNIV GUADALAJARA AUTONOMA AC,WO2022182216 A1,20220901,,herbicide,,,"WO 2022182216 A1
   NOVELTY - Isolated strain (S1) of Lysinibacillus fusiformis comprising the characteristics of the deposited strain CM-CNRG TB160, is new. 
   DETAILED DESCRIPTION - INDEPENDENT CLAIMS are also included for: (1) an isolated strain (S2) of Bacillus cereus comprising the characteristics of the deposited strain CM-CNRG TB156; (2) an isolated strain (S3) of Bacillus cereus comprising the characteristics of the deposited strain CM-CNRG TB157; (3) an isolated strain (S4) of Bacillus subtilis comprising the characteristics of the deposited strain CM-CNRG TB159; (4) an isolated strain (S5) of Enterobacter cloacae comprising the characteristics of the deposited strain CM-CNRG TB154; (5) an isolated strain (S6) of Lysinibacillus sphaericus comprising the characteristics of the deposited strain CM-CNRG TB161; (6) an isolated strain (S7) of Enterobacter spp. comprising the characteristics of the deposited strain CM-CNRG TB155; (7) an isolated strain (S8) of Bacillus spp. comprising the characteristics of the deposited strain CM-CNRG TB158; (8) a probiotic mixture comprising (i) an isolated strain of Lysinibacillus fusiformis , (ii) an isolated strain of Bacillus cereus , (iii) an isolated strain of Bacillus cereus , (iv) an isolated strain of Bacillus subtilis , (v) an isolated strain of Enterobacter cloacae , (vi) an isolated strain of Lysinibacillus sphaericus , (vii) an isolated strain of Enterobacter spp. , and (viii) an isolated strain of Bacillus spp. ; (8) an agricultural nutrient comprising a probiotic mixture of bacterial strains, and a nutritional formulation; and (9) agricultural production comprising applying a sufficient amount of the agricultural nutrient to an agricultural crop. 
   ACTIVITY - Plant Growth Stimulant; Plant Growth Regulant; Plant Growth Inhibitor.
   MECHANISM OF ACTION - None given.
   USE - The strains are useful: in an agricultural nutrient for producing agricultural crops (all claimed); for stimulating growth and regulate responses in the protection of plants; and for inhibiting in vitro the growth of the mycelium of Fusarium oxysporum . Test details are described but no results given.
   ADVANTAGE - The strains: utilize the bacterial strains that exhibits fungicidal activity against Pseudocercospora fijiensis , possess the anti- stress enzyme ACC-deaminase, fix atmospheric nitrogen, produce indoleacetic acid and solubilize minerals that are assimilated by plants, and restore the endophytic microbiome; lowers economic and environmental cost; and environmentally friendly.","Status as of : 08.12.2022
Competitive impact : 2.788
Technology relevance : 0.995
Market coverage : 2.803
Current owners : AUTONOMOUS UNIVERSITY OF GUADALAJARA
Patent rights : 
    Active + Granted : 
    Active + Not Granted : WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""3""","The patent text explicitly mentions the strains' ability to inhibit the growth of *Fusarium oxysporum* in vitro, which is a fungal pathogen. This indicates fungicidal activity."
17,DE102021104679,DE102021104679,WPI/2022-B2230F,"Herbicidal composition useful in crop fields for control barnyard grass or crabgrass in crops, comprises butralin and sulfentrazone",BEIJING MARCHHEARD TECHNOLOGY LTD,DE102021104679 A1,20220901,,herbicide,,,"DE 102021104679 A1
   NOVELTY - Herbicidal composition comprises butralin and sulfentrazone in a weight ratio of 8:1-1:1.
   ACTIVITY - Herbicide. No biological data given. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful in crop fields for control barnyard grass or crabgrass in crops.
   ADVANTAGE - The composition has broad weed killing spectrum, high effectiveness, effective cost reduction, exhibits synergistic effect of ≥ 120.","Status as of : 08.12.2022
Competitive impact : 0.13
Technology relevance : 0.995
Market coverage : 0.131
Current owners : BEIJING MARCHHEARD TECH
Patent rights : 
    Active + Granted : 
    Active + Not Granted : DE
    Not Active + Granted : 
    Not Active + Not Granted : 
","""2""",The patent explicitly states that the composition is a herbicide and details its use for weed control in crop fields.
18,WO2022180640,WO2022180640,WPI/2022-B24734,"Insecticidal composition useful for controlling insect-pest, comprises chlorantraniliprole, flubendiamide, pyriproxyfen, diafenthiuron, bifenthrin or lambda-cyhalothrin, and excipients",WILLOWOOD CHEM PRIVATE LTD,WO2022180640 A1,20220901,,insecticide,,,"WO 2022180640 A1
   NOVELTY - Insecticidal composition comprises (a) chlorantraniliprole, (b) flubendiamide, (c) at least one compound chosen from pyriproxyfen, diafenthiuron, bifenthrin and λ -cyhalothrin, and (d) one or more excipients.
   ACTIVITY - Insecticide. Test details are described but no results given. 
   MECHANISM OF ACTION - None given.
   USE - The insecticidal composition is useful for controlling insect-pest in crops. The insect-pest is Lepidoptera, Coleoptera, Diptera, Homoptera, Thysanoptera, or Orthoptera.
   ADVANTAGE - The insecticidal composition exhibits synergistic effects, controls wide spectrum of insect-pest in crops, reduces treatment cost to farmer, eases burden on environment both from manufacturing waste and crop protection chemical residues, delays emergence of resistant strains, minimizes risk of development of resistance, is economically beneficial to the farmers as it provides better yield of the crop with reduction in the number of sprays, has reduced possibility of hazards to farmers due to reduction in number of sprays, has excellent storage stability, and is non- phytotoxic or environmentally-friendly.","Status as of : 08.12.2022
Competitive impact : 2.79
Technology relevance : 0.995
Market coverage : 2.803
Current owners : WILLOWOOD CHEMICALS PRIVATE
Patent rights : 
    Active + Granted : 
    Active + Not Granted : WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1""",The patent text explicitly states that the composition is an insecticide and lists its activity against various insect pests.
19,WO2022180641,WO2022180641,WPI/2022-B2431J,"Synergistic insecticidal composition useful for controlling a wide spectrum of insect pests, comprises chlorantraniliprole, methoxyfenozide, deltamethrin and lambda-cyhalothrin, and excipients",WILLOWOOD CHEM PRIVATE LTD,WO2022180641 A1,20220901,,insecticide,,,"WO 2022180641 A1
   NOVELTY - Synergistic insecticidal composition comprises: chlorantraniliprole; methoxyfenozide; at least one compound comprises deltamethrin and λ -cyhalothrin; and at least one excipient. 
   ACTIVITY - Insecticide.
   MECHANISM OF ACTION - None given.
   USE - The composition is useful for controlling a wide spectrum of insect pests. The ability of the composition to control wide spectrum of insect pests was tested o sugarcane using field trail assay. The results showed that composition (comprised of 6% chlorantraniliprole, 21% methoxyfenozide, and 1.25% deltamethrin) exhibited 85.78% reduction against control.
   ADVANTAGE - The composition: is economically beneficial to the farmers as it provides better yield of the crop with reduction in the number of sprays; reduces possibility of hazards to the farmers due to occupational exposure because of reduction in the number of sprays; increases efficacy in comparison to the other formulations tested during the trial; and is storage stable, non-phytotoxic, and environmental friendly.","Status as of : 08.12.2022
Competitive impact : 2.79
Technology relevance : 0.995
Market coverage : 2.803
Current owners : WILLOWOOD CHEMICALS PRIVATE
Patent rights : 
    Active + Granted : 
    Active + Not Granted : WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1""",The patent text explicitly states that the composition is an insecticide and describes its activity in controlling a wide spectrum of insect pests. There is no mention of herbicides or fungicides.
20,WO2022180096,WO2022180096,WPI/2022-B24240,"Controlling or preventing damage to rice plant caused by insect in order Hemiptera, comprises applying combination comprising pymetrozine and triflumezopyrim on plant or its locus or its propagation material",SYNGENTA CROP PROTECTION AG,WO2022180096 A1,20220901,,insecticide,,,"WO 2022180096 A1
   NOVELTY - Method for controlling or preventing damage to a rice plant caused by an insect in the order Hemiptera, comprises applying a combination comprising (I) pymetrozine and (II) triflumezopyrim on the plant or its locus or its propagation material, where the weight ratio of component (I) to component (II) is 7:1-9:1.
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for a composition comprising (I) pymetrozine, (II) triflumezopyrim, and (III) optionally, one or more auxiliaries and diluent. 
   ACTIVITY - Insecticide. The pesticidal activity of the composition was tested against Nilaparvata lugens . The result showed that the composition comprising 21 ppm pymetrozine and 3 ppm triflumezopyrim in a weight ratio of 7:1 exhibited a combined inhibition rate of 100%. 
   MECHANISM OF ACTION - None given.
   USE - The method is used for controlling or preventing damage to a rice plant caused by an insect in the order Hemiptera. The insect is in the family Delphacidae or Cicadellidae. The insect is in the genus selected from Nilaparvata spp. , Laodelphax spp. , Sogatella spp. and Nephotettix spp. , preferably selected from the species N.lugens , L.striatellus , S.furcifera , N.virescens and N.cincticeps (all claimed). 
   ADVANTAGE - The method provides increased safety profile, improved physico-chemical properties and increased biodegradability. The method improves toxicological and/or ecotoxicological behavior, and characteristics of the useful plants including emergence, crop yields, more developed root system, tillering increase, plant height increased, bigger leaf blade, less dead basal leaves, stronger tillers, greener leaf color, less fertilizers needed, less seeds needed, more productive tillers, earlier flowering, early grain maturity, less plant verse (lodging), increased shoot growth, improved plant vigor, and early germination.","Status as of : 08.12.2022
Competitive impact : 4.591
Technology relevance : 1.638
Market coverage : 2.803
Current owners : Syngenta (in: Sinochem Holdings); SINOCHEM HOLDINGS CORPORATION LTD
Patent rights : 
    Active + Granted : 
    Active + Not Granted : WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1""","The patent text describes a method for controlling damage to rice plants caused by insects in the order Hemiptera. It specifically mentions testing the composition against Nilaparvata lugens, which is a type of planthopper (insect), and highlights the insecticide activity of the combination."
21,WO2022180396,WO2022180396,WPI/2022-B2303W,"Agricultural composition used e.g. to enhance uptake of silicon by plants, to reduce physical damage by pests, and as fertilizer comprises water- soluble source of silicon, and silicon transport stimulant comprising aryl substituted urea",LEVITY CROP SCI LTD,"WO2022180396 A1
GB2604341 A","20220901
20220907",,insecticide,,,"WO 2022180396 A1
   NOVELTY - Agricultural composition comprises a water-soluble source of silicon, and a silicon transport stimulant comprising an aryl substituted urea.
   DETAILED DESCRIPTION - INDEPENDENT CLAIMS are also included for: 
      a formulation comprising the composition, and a medium, in which the composition is dispersed or dissolved;
      supplying (M1) silicon to plants, comprising (a) applying the composition or the formulation to the plants or to its environment; 
      enhancing (M2) the uptake of silicon by plants, comprising the step (a) as per se;
      reducing (M3) physical damage by pests, comprising the step (a) as per se;
      improving (M4) shelf life of a harvested crop by enhancing silicon distribution to the harvested parts of a plant, comprising the step (a) as per se;
      preventing (M5) or alleviating disease or infection in plants by improving distribution and efficacy of applied silicon, comprising the step (a) as per se;
      improving (M6) plant growth during conditions of abiotic stress, comprising the step (a) as per se;
      improving (M7) plant growth rate, comprising the step (a) as per se; 
      reducing (M8) the volume of silicon needed for a growth response, comprising the step (a) as per se; and
      preparing (M9) an agricultural composition, comprising mixing a source of water-soluble silicon with a silicon transport stimulant comprising an aryl substituted urea.
   ACTIVITY - Insecticide; Antimicrobial; Plant Protectant; Plant Growth Stimulant; Fertilizer.
   MECHANISM OF ACTION - None given.
   USE - The composition or formulation are useful: for administering to plants or to the environment of plants; for supplying silicon to plants; for enhancing the uptake of silicon by plants; for reducing physical damage by pests; for improving shelf life of a harvested crop by enhancing silicon distribution to the harvested parts of a plant; for preventing or alleviating disease or infection in plants by improving distribution and efficacy of applied silicon; for improving plant growth during conditions of abiotic stress; for improving plant growth rate; for reducing the volume of silicon needed for a growth response; and as a fertilizer for administration to crops. The diphenyl urea compound is useful as a silicon transport stimulant (all claimed). The ability of the composition to improve plant growth rate was tested in onions by measuring increase in mean stem diameter using biological assay. The results showed that the composition (comprised of 19.995 wt.% water, 80 wt.% potassium silicate and 0.005 wt.% N,N diphenyl urea) increased mean stem diameter by 4.73 mm. 
   ADVANTAGE - The composition: allows silicon to remain metabolically active for longer; facilitates to improve silicon uptake and distribution in plants at reduced cost; can be applied less frequently and at reduced application rates, when compared to conventional silicon-based fertilizers; is synergistic; and may exhibit insecticidal and/or acaricidal activity.","Status as of : 08.12.2022
Competitive impact : 2.794
Technology relevance : 0.997
Market coverage : 2.803
Current owners : LEVITY CROP SCIENCE
Patent rights : 
    Active + Granted : 
    Active + Not Granted : GB; WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""2"", ""3""","The patent describes a composition that improves silicon uptake and distribution in plants, enhancing their resistance to abiotic stress and disease.  This suggests applications as both a herbicide (by improving stress tolerance) and a fungicide (by boosting disease resistance)."
22,US20220272980,US20220272980,WPI/2022-B0578T,"Pesticidal composition, comprises pesticidally effective concentration of pesticidally active solid particulate chitin synthesis inhibitor",CONTROL SOLUTIONS INC,"US20220272980 A1
WO2022187166 A1","20220901
20220909",,insecticide,,,"US 20220272980 A1
   NOVELTY - Pesticidal composition, comprises a pesticidally effective concentration of a pesticidally active solid particulate chitin synthesis inhibitor.
   DETAILED DESCRIPTION - INDEPENDENT CLAIMS are included for: 
    1. a pesticidal granule, which comprises a carrier granule having a pesticidal powder composition deposited on it; 
    2. a pesticidal suspension composition, which comprises a solid particulate insect growth regulator, the composition comprising: a. 5- 15 wt.% solid particulate novaluron; b. 2- 8 wt.% siloxane-based non- ionic surfactant (Break-Thru S 233); c. 0.2- 0.8 wt.% anti-foaming agent (Sag 30); d. 10- 20 wt.% propylene glycol; e. 0.1- 0.5 wt.% xanthan gum; f. 0.1- 0.5 wt.% preservative (Proxel GXL); and g. 60- 80 wt.% water; 
    3. a pesticidal powder composition, which comprises a solid particulate insect growth regulator, the composition comprising: a. 0.08-0.5 wt.% solid particulate novaluron; b. 70-80 wt.% attapulgite; and c. 20-30 wt.% corn grit;
    4. a method for controlling a target pest, which involves contacting the pest with a pesticidally effective amount of a composition. 
   USE - Pesticidal composition.
   ADVANTAGE - None given.","Status as of : 08.12.2022
Competitive impact : 2.79
Technology relevance : 0.995
Market coverage : 2.803
Current owners : CONTROL SOLUTIONS LLC; CONTROL SOLUNTIONS
Patent rights : 
    Active + Granted : 
    Active + Not Granted : US; WO
    Not Active + Granted : 
    Not Active + Not Granted : 
","""1""",The patent explicitly mentions \
23,KR2022120954,KR2022120954,WPI/2022-B2255X,"Composition useful for controlling plant diseases including rice blast, tomato gray mold, tomato late blight, wheat red rust and red pepper anthrax caused by phytopathogenic fungi, and bacteria, comprises substituted ketone based compounds",KOREA RES INST CHEM TECHNOLOGY,KR2022120954 A,20220831,,fungicide,,,"KR 2022120954 A
   NOVELTY - Composition comprises substituted ketone based comlpounds, and their optical isomers, or salts.
   DETAILED DESCRIPTION - Composition comprises substituted ketone based compounds (A) of formulae (I)-(V), and their optical isomers, or salts. 
       R1 and R2  = H, -OH, 1-6C alkyl or -O-1-6C alkyl; 
       dotted bond  = double bond or single bond; 
       A1  = (1S,2S,4S,5R,7aR)-2-(dimethoxymethyl)-1-hydroxy-1,4,5,7a- tetramethyloctahydro-1H-inden-4-yl, (1S,2R,4aR)-1,2,4a,5-tetramethyl- 1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl, (1S,2R,4aR)-6-hydroxy-1,2,4a- trimethyl-5-methylenedecahydronaphthalen-1-yl or (4S,5R,7aR)-2-formyl-1- hydroxy-4,5,7a-trimethyloctahydro-1H-inden-4-yl; 
       R3 and R4  = H, -OH, 1-6C alkyl or -O-1-6C alkyl; 
       R5 and R6  = H, -OH, 1-6C alkyl, or CH=O; 
       A2  = (1S,2R,4aR)-1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a- octahydronaphthalen-1-yl or (1S,2R,4aR)-1,2,4a,5,5- pentamethyldecahydronaphthalen-1-yl; and
       R7  = H, -OH, 1-6C alkyl or -O-1-6C alkyl. 
   ACTIVITY - Fungicide; Antibacterial. Test details are described but no results given.
   MECHANISM OF ACTION - None given.
   USE - The composition is useful for controlling plant diseases including rice blast, tomato gray mold, tomato late blight, wheat red rust and red pepper anthrax caused by phytopathogenic fungi i.e. Alternaria brassicicola , Cladosporium cucumerinum , Colletotrichum coccodes , and Fusarium oxysporum f. sp. Lycopersici, Magnaporthe oryzae and Phytophthora infestans , and phytopathogenic bacteria i.e. Acidovorax avenae subsp. Cattleyae and Erwinia chrysanthemi by applying on surface of stems and leaves of plants through volatilization treatment method and seed treatment method, sterilizing and coating seeds, and treating the habitat in which the plants grow, preferably planting hole, furrow, periphery of replantation, planting furrow perimeter, entire surface of growth site, part between soil and plants, part between roots, part under stem of a plant, main furrow, growth soil, nail bed, seedling box, trays for seedlings and seedlings (all claimed).
   ADVANTAGE - The composition contains natural products, is harmless to the human body, has biodegradable in nature, and effective in controlling plant diseases without causing environmental pollution, can be developed as environmentally friendly biological pesticides, and can be usefully used in the production of value-added organic products.","Status as of : 08.12.2022
Competitive impact : 0.062
Technology relevance : 1.102
Market coverage : 0.056
Current owners : KOREA RESEARCH INSTITUTE OF CHEMICAL TECHNOLOGY
Patent rights : 
    Active + Granted : 
    Active + Not Granted : KR
    Not Active + Granted : 
    Not Active + Not Granted : 
","""3""","The patent explicitly states that the composition has fungicidal activity and lists specific plant diseases caused by fungi that it controls. Additionally, the use section mentions applications like seed treatment and habitat treatment to prevent fungal infections in plants."
